iter	Passed	Remaining
0	188	188254
1	220	110055
2	253	84402
3	289	72016
4	326	64893
5	374	62008
6	400	56820
7	422	52342
8	442	48702
9	464	45945
10	483	43451
11	505	41628
12	532	40460
13	558	39335
14	594	39037
15	636	39151
16	673	38922
17	709	38726
18	741	38302
19	767	37597
20	789	36785
21	808	35949
22	831	35340
23	851	34646
24	874	34099
25	899	33684
26	918	33113
27	939	32601
28	957	32072
29	977	31603
30	998	31198
31	1019	30826
32	1040	30503
33	1062	30190
34	1082	29846
35	1101	29499
36	1123	29253
37	1144	28972
38	1162	28648
39	1181	28356
40	1205	28196
41	1227	27991
42	1246	27737
43	1264	27481
44	1287	27323
45	1307	27111
46	1351	27408
47	1396	27695
48	1441	27985
49	1484	28199
50	1506	28040
51	1523	27780
52	1544	27593
53	1567	27466
54	1601	27509
55	1633	27540
56	1666	27564
57	1709	27770
58	1752	27945
59	1773	27785
60	1793	27602
61	1816	27475
62	1843	27416
63	1862	27236
64	1920	27626
65	1960	27746
66	2021	28156
67	2065	28313
68	2086	28149
69	2106	27989
70	2126	27824
71	2150	27718
72	2170	27565
73	2191	27418
74	2215	27330
75	2239	27224
76	2258	27073
77	2287	27035
78	2314	26979
79	2335	26856
80	2354	26712
81	2388	26740
82	2411	26638
83	2433	26540
84	2465	26540
85	2502	26599
86	2544	26698
87	2575	26687
88	2596	26573
89	2614	26436
90	2632	26299
91	2651	26173
92	2672	26062
93	2692	25952
94	2713	25846
95	2765	26041
96	2795	26027
97	2826	26017
98	2857	26010
99	2888	25999
100	2913	25932
101	2929	25791
102	2950	25692
103	2968	25571
104	2983	25431
105	2998	25286
106	3013	25149
107	3028	25014
108	3043	24882
109	3060	24761
110	3076	24643
111	3093	24527
112	3109	24410
113	3126	24296
114	3145	24204
115	3161	24093
116	3177	23981
117	3194	23875
118	3210	23770
119	3227	23666
120	3243	23565
121	3260	23463
122	3277	23369
123	3292	23261
124	3308	23162
125	3324	23060
126	3342	22975
127	3358	22881
128	3373	22779
129	3388	22677
130	3405	22589
131	3421	22500
132	3437	22411
133	3454	22323
134	3470	22238
135	3489	22170
136	3517	22159
137	3548	22164
138	3573	22135
139	3589	22046
140	3605	21964
141	3621	21883
142	3638	21804
143	3653	21718
144	3669	21637
145	3685	21558
146	3702	21482
147	3725	21448
148	3748	21410
149	3770	21368
150	3785	21286
151	3800	21205
152	3816	21127
153	3832	21055
154	3847	20976
155	3863	20901
156	3881	20840
157	3897	20771
158	3914	20704
159	3930	20635
160	3949	20580
161	3965	20514
162	3981	20447
163	3999	20386
164	4030	20398
165	4062	20410
166	4092	20414
167	4123	20422
168	4156	20436
169	4187	20443
170	4217	20444
171	4235	20388
172	4252	20328
173	4269	20268
174	4286	20209
175	4304	20152
176	4321	20095
177	4339	20038
178	4355	19975
179	4371	19913
180	4388	19857
181	4405	19802
182	4421	19741
183	4438	19683
184	4459	19647
185	4484	19627
186	4511	19612
187	4528	19557
188	4545	19503
189	4570	19484
190	4589	19438
191	4605	19381
192	4622	19326
193	4637	19265
194	4657	19225
195	4676	19183
196	4695	19141
197	4715	19099
198	4734	19057
199	4752	19009
200	4770	18963
201	4790	18925
202	4809	18880
203	4826	18833
204	4845	18789
205	4864	18748
206	4884	18712
207	4906	18682
208	4926	18643
209	4945	18606
210	4965	18569
211	4986	18533
212	5004	18489
213	5021	18444
214	5039	18399
215	5058	18360
216	5076	18317
217	5094	18275
218	5114	18240
219	5137	18213
220	5157	18177
221	5175	18138
222	5192	18093
223	5209	18048
224	5230	18014
225	5249	17979
226	5269	17943
227	5288	17907
228	5304	17857
229	5320	17811
230	5337	17768
231	5355	17729
232	5372	17686
233	5392	17651
234	5408	17606
235	5426	17565
236	5444	17526
237	5461	17486
238	5480	17450
239	5499	17414
240	5516	17373
241	5535	17338
242	5552	17297
243	5568	17254
244	5586	17214
245	5602	17172
246	5619	17131
247	5636	17091
248	5653	17051
249	5671	17015
